iter	Passed	Remaining
400	30163	45056
401	30337	45129
402	30434	45085
403	30548	45066
404	30639	45013
405	30738	44972
406	30836	44929
407	30931	44881
408	31040	44853
409	31120	44782
410	31228	44753
411	31385	44793
412	31469	44727
413	31553	44662
414	31642	44604
415	31723	44534
416	31812	44477
417	31903	44420
418	31978	44341
419	32065	44281
420	32158	44227
421	32234	44150
422	32334	44106
423	32445	44076
424	32516	43993
425	32598	43924
426	32692	43871
427	32790	43822
428	32870	43751
429	32971	43706
430	33055	43638
431	33162	43602
432	33269	43565
433	33339	43479
434	33423	43411
435	33521	43362
436	33631	43328
437	33743	43296
438	33880	43296
439	33957	43218
440	34046	43156
441	34161	43126
442	34284	43106
443	34419	43102
444	34510	43041
445	34614	42996
446	34698	42926
447	34792	42869
448	34868	42789
449	34953	42721
450	35032	42644
451	35120	42579
452	35212	42518
453	35284	42434
454	35358	42352
455	35427	42264
456	35532	42218
457	35607	42138
458	35698	42075
459	35767	41988
460	35837	41900
461	35924	41833
462	35984	41736
463	36057	41652
464	36120	41557
465	36185	41465
466	36256	41381
467	36319	41286
468	36379	41188
469	36449	41103
470	36511	41007
471	36575	40915
472	36634	40816
473	36717	40745
474	36783	40655
475	36851	40568
476	36937	40499
477	37007	40413
478	37070	40320
479	37133	40228
480	37204	40143
481	37271	40055
482	37331	39959
483	37391	39863
484	37459	39776
485	37520	39681
486	37580	39586
487	37639	39490
488	37709	39406
489	37772	39314
490	37843	39231
491	37917	39150
492	37982	39061
493	38078	39002
494	38160	38931
495	38221	38837
496	38295	38757
497	38368	38677
498	38459	38613
499	38524	38524
500	38673	38519
501	38763	38454
502	38829	38366
503	38902	38285
504	38964	38193
505	39026	38101
506	39086	38006
507	39169	37935
508	39233	37845
509	39291	37751
510	39353	37658
511	39421	37573
512	39489	37488
513	39548	37393
514	39607	37299
515	39684	37223
516	39746	37133
517	39817	37050
518	39880	36960
519	39951	36878
520	40015	36789
521	40082	36703
522	40153	36621
523	40212	36529
524	40275	36439
525	40338	36351
526	40403	36263
527	40460	36169
528	40515	36073
529	40575	35981
530	40636	35891
531	40696	35800
532	40755	35709
533	40820	35622
534	40877	35529
535	40934	35435
536	40992	35343
537	41050	35251
538	41112	35162
539	41174	35074
540	41231	34982
541	41296	34896
542	41359	34808
543	41417	34717
544	41474	34625
545	41541	34541
546	41613	34462
547	41675	34374
548	41739	34288
549	41805	34204
550	41867	34117
551	41925	34026
552	41995	33945
553	42098	33891
554	42186	33824
555	42287	33769
556	42388	33712
557	42469	33640
558	42576	33588
559	42667	33524
560	42732	33439
561	42801	33357
562	42858	33266
563	42922	33181
564	42979	33090
565	43035	32998
566	43100	32914
567	43170	32834
568	43227	32743
569	43288	32656
570	43340	32562
571	43401	32475
572	43462	32388
573	43524	32302
574	43595	32222
575	43667	32144
576	43726	32055
577	43788	31969
578	43845	31880
579	43904	31793
580	43960	31703
581	44018	31614
582	44074	31525
583	44138	31441
584	44203	31357
585	44261	31270
586	44318	31181
587	44382	31097
588	44443	31012
589	44500	30924
590	44557	30835
591	44636	30762
592	44698	30678
593	44769	30599
594	44832	30516
595	44900	30435
596	44962	30351
597	45019	30264
598	45072	30173
599	45139	30092
600	45202	30009
601	45264	29925
602	45324	29840
603	45395	29762
604	45520	29720
605	45632	29668
606	45721	29602
607	45803	29531
608	45900	29469
609	45997	29408
610	46071	29332
611	46182	29279
612	46273	29213
613	46387	29162
614	46465	29088
615	46541	29013
616	46761	29026
617	46849	28958
618	46921	28880
619	47004	28809
620	47079	28732
621	47147	28652
622	47208	28567
623	47277	28487
624	47336	28401
625	47389	28312
626	47465	28236
627	47528	28153
628	47586	28067
629	47653	27987
630	47730	27912
631	47790	27827
632	47851	27743
633	47916	27661
634	47988	27583
635	48051	27500
636	48113	27417
637	48188	27342
638	48259	27264
639	48327	27184
640	48392	27102
641	48451	27018
642	48525	26941
643	48581	26855
644	48650	26776
645	48714	26694
646	48801	26626
647	48874	26549
648	48948	26473
649	49037	26404
650	49115	26330
651	49180	26249
652	49253	26173
653	49332	26099
654	49488	26066
655	49678	26050
656	49795	25996
657	49922	25947
658	49991	25868
659	50073	25795
660	50191	25740
661	50305	25684
662	50435	25636
663	50564	25587
664	50664	25522
665	50730	25441
666	50814	25369
667	50931	25313
668	51017	25241
669	51158	25197
670	51259	25133
671	51371	25073
672	51497	25021
673	51589	24952
674	51673	24879
675	51782	24818
676	51852	24739
677	51931	24663
678	52017	24591
679	52115	24524
680	52206	24454
681	52305	24388
682	52394	24317
683	52478	24244
684	52564	24171
685	52631	24090
686	52694	24007
687	52775	23933
688	52858	23858
689	52924	23777
690	52992	23696
691	53058	23615
692	53122	23533
693	53194	23454
694	53261	23373
695	53324	23291
696	53387	23208
697	53462	23131
698	53524	23048
699	53595	22969
700	53651	22884
701	53719	22804
702	53776	22719
703	53846	22639
704	53900	22553
705	53970	22474
706	54026	22390
707	54080	22304
708	54134	22218
709	54195	22136
710	54255	22053
711	54316	21970
712	54378	21888
713	54467	21817
714	54525	21733
715	54585	21651
716	54645	21568
717	54723	21493
718	54800	21417
719	54885	21344
720	54952	21264
721	55013	21182
722	55085	21104
723	55155	21026
724	55219	20945
725	55296	20869
726	55372	20793
727	55440	20714
728	55502	20632
729	55558	20549
730	55641	20475
731	55697	20392
732	55758	20310
733	55830	20232
734	55913	20159
735	55983	20081
736	56050	20001
737	56110	19919
738	56174	19839
739	56233	19757
740	56295	19676
741	56366	19599
742	56432	19519
743	56502	19441
744	56593	19370
745	56672	19295
746	56739	19217
747	56798	19135
748	56858	19054
749	56934	18978
750	56991	18896
751	57048	18813
752	57110	18733
753	57180	18655
754	57236	18573
755	57293	18491
756	57357	18411
757	57422	18332
758	57519	18263
759	57593	18187
760	57662	18109
761	57728	18030
762	57790	17950
763	57874	17877
764	57936	17797
765	57993	17716
766	58049	17634
767	58112	17554
768	58172	17474
769	58229	17393
770	58288	17312
771	58367	17238
772	58423	17156
773	58481	17075
774	58539	16995
775	58611	16918
776	58674	16839
777	58771	16770
778	58853	16696
779	58928	16620
780	58985	16540
781	59040	16458
782	59110	16381
783	59167	16301
784	59225	16220
785	59283	16140
786	59347	16062
787	59414	15984
788	59481	15907
789	59541	15827
790	59618	15752
791	59692	15676
792	59757	15598
793	59823	15520
794	59912	15449
795	59987	15373
796	60141	15318
797	60235	15247
798	60337	15178
799	60422	15105
800	60498	15030
801	60598	14960
802	60700	14891
803	60793	14820
804	60874	14745
805	60952	14670
806	61070	14605
807	61137	14527
808	61206	14450
809	61271	14372
810	61330	14292
811	61392	14214
812	61463	14137
813	61527	14059
814	61584	13979
815	61650	13901
816	61748	13830
817	61890	13770
818	61968	13695
819	62051	13621
820	62119	13543
821	62217	13472
822	62284	13395
823	62350	13317
824	62419	13240
825	62510	13167
826	62587	13092
827	62655	13015
828	62728	12939
829	62798	12862
830	62887	12789
831	62958	12712
832	63028	12635
833	63093	12558
834	63163	12481
835	63234	12404
836	63294	12326
837	63364	12249
838	63427	12171
839	63495	12094
840	63563	12017
841	63644	11942
842	63748	11872
843	63823	11796
844	63888	11719
845	63956	11642
846	64019	11564
847	64080	11486
848	64143	11408
849	64223	11333
850	64315	11260
851	64383	11184
852	64458	11108
853	64548	11035
854	64636	10961
855	64732	10889
856	64823	10816
857	64900	10741
858	64966	10663
859	65031	10586
860	65093	10508
861	65167	10432
862	65233	10355
863	65294	10277
864	65352	10199
865	65422	10123
866	65497	10047
867	65560	9969
868	65619	9892
869	65690	9815
870	65774	9741
871	65838	9664
872	65900	9586
873	65960	9509
874	66031	9433
875	66092	9355
876	66152	9277
877	66224	9202
878	66288	9124
879	66348	9047
880	66408	8970
881	66470	8892
882	66533	8815
883	66591	8738
884	66654	8661
885	66712	8583
886	66775	8506
887	66838	8430
888	66906	8353
889	66968	8277
890	67024	8199
891	67083	8122
892	67152	8046
893	67219	7970
894	67280	7893
895	67338	7816
896	67401	7739
897	67464	7663
898	67530	7586
899	67589	7509
900	67653	7433
901	67711	7356
902	67795	7282
903	67867	7207
904	67926	7130
905	67997	7054
906	68061	6978
907	68120	6902
908	68182	6825
909	68245	6749
910	68303	6672
911	68369	6597
912	68434	6521
913	68524	6447
914	68586	6371
915	68637	6294
916	68699	6218
917	68760	6141
918	68820	6065
919	68885	5990
920	68994	5918
921	69073	5843
922	69148	5768
923	69228	5694
924	69298	5618
925	69356	5542
926	69418	5466
927	69482	5390
928	69542	5314
929	69640	5241
930	69853	5177
931	70003	5107
932	70099	5033
933	70178	4959
934	70272	4885
935	70429	4815
936	70518	4741
937	70605	4666
938	70683	4591
939	70780	4517
940	70889	4444
941	70971	4369
942	71069	4295
943	71166	4221
944	71261	4147
945	71519	4082
946	71657	4010
947	71764	3936
948	71868	3862
949	71965	3787
950	72121	3716
951	72195	3640
952	72292	3565
953	72386	3490
954	72479	3415
955	72578	3340
956	72671	3265
957	72753	3189
958	72872	3115
959	73022	3042
960	73185	2970
961	73275	2894
962	73365	2818
963	73534	2746
964	73625	2670
965	73709	2594
966	73788	2518
967	73880	2442
968	73948	2365
969	74033	2289
970	74102	2213
971	74165	2136
972	74223	2059
973	74292	1983
974	74363	1906
975	74423	1830
976	74481	1753
977	74547	1676
978	74621	1600
979	74680	1524
980	74738	1447
981	74809	1371
982	74880	1294
983	74944	1218
984	75004	1142
985	75076	1065
986	75143	989
987	75206	913
988	75272	837
989	75357	761
990	75427	685
991	75490	608
992	75568	532
993	75639	456
994	75705	380
995	75776	304
996	75845	228
997	75910	152
998	75982	76
999	76045	0
