iter	Logloss
352	0.6132502983
353	0.613140523
354	0.6130772766
355	0.6130076922
356	0.6129186623
357	0.6128037887
358	0.6127612074
359	0.6126998524
360	0.6126277474
361	0.6125549403
362	0.6124743827
363	0.6123989469
364	0.612329554
365	0.6122785252
366	0.6121969566
367	0.6121048575
368	0.6119778084
369	0.6118921162
370	0.6118017924
371	0.6116914345
372	0.6115671352
373	0.6115034464
374	0.6114382658
375	0.6112761509
376	0.6112215096
377	0.6111645254
378	0.6111044972
379	0.6110034942
380	0.6109326286
381	0.6108097169
382	0.6107324545
383	0.610667742
384	0.610601287
385	0.6105196794
386	0.6104490733
387	0.6103786339
388	0.6102990316
389	0.6101880661
390	0.6100848565
391	0.6100327026
392	0.6099282875
393	0.6098166599
394	0.6097546187
395	0.6097007081
396	0.6096414726
397	0.6095669185
398	0.6095321586
399	0.6094707747
400	0.6093828947
401	0.6093304627
402	0.6092454324
403	0.6091806993
404	0.6091157648
405	0.6090104839
406	0.6089457016
407	0.6088815052
408	0.6087619875
409	0.6087170703
410	0.6086287428
411	0.6084794134
412	0.6084192616
413	0.6083686613
414	0.6082884878
415	0.6081870907
416	0.6080896623
417	0.6080360511
418	0.6079383159
419	0.6078850584
420	0.6078155265
421	0.6077314644
422	0.6076865313
423	0.6076231251
424	0.6075603727
425	0.60747987
426	0.6074191509
427	0.607360186
428	0.6073248877
429	0.6072489883
430	0.607156603
431	0.6071012683
432	0.6070446426
433	0.6069717672
434	0.6069129749
435	0.606828362
436	0.6067365935
437	0.6066535664
438	0.6065704739
439	0.6064905598
440	0.6064249712
441	0.6063923679
442	0.6063281112
443	0.6062290242
444	0.6061530159
445	0.6060974292
446	0.6060446237
447	0.6059820702
448	0.6059238284
449	0.605826926
450	0.6057290105
451	0.6056600081
452	0.6055907382
453	0.6054022916
454	0.605305327
455	0.605230501
456	0.6051300148
457	0.6050798195
458	0.6050163805
459	0.6049424265
460	0.6048367478
461	0.6047692322
462	0.6047416564
463	0.6046704596
464	0.6045813332
465	0.6045081019
466	0.6044032134
467	0.6043127899
468	0.6042318516
469	0.6041687815
470	0.6040760129
471	0.604011322
472	0.6039161143
473	0.6038507094
474	0.6037612383
475	0.6036732135
476	0.6036222831
477	0.6035600575
478	0.6034867002
479	0.6034419234
480	0.6033621082
481	0.6032538601
482	0.6031815111
483	0.6031108634
484	0.6030270992
485	0.6029484019
486	0.6028705489
487	0.6028233759
488	0.6027655734
489	0.6026936337
490	0.6026258374
491	0.6025666379
492	0.6024723511
493	0.6023710786
494	0.6023056389
495	0.6022382289
496	0.6021600421
497	0.6020956678
498	0.602011883
499	0.6018866132
500	0.6018204871
501	0.6017402208
502	0.6016597141
503	0.6015967986
504	0.6015000251
505	0.601419471
506	0.6013386053
507	0.6012403056
508	0.6011898412
509	0.6011327934
510	0.6010565154
511	0.6010028879
512	0.6009433901
513	0.6008824027
514	0.6007764357
515	0.6006659091
516	0.6006150615
517	0.6005447625
518	0.6004408323
519	0.6003597056
520	0.6002840177
521	0.6002353097
522	0.6001725428
523	0.6001099418
524	0.6000287118
525	0.5999627335
526	0.5998935088
527	0.5998392708
528	0.5997640299
529	0.5997125264
530	0.5996456414
531	0.5995276053
532	0.5994744448
533	0.5994248701
534	0.599350498
535	0.5992285818
536	0.5991367098
537	0.5990561537
538	0.5989962174
539	0.5989370851
540	0.5988511156
541	0.5987778021
542	0.5987211414
543	0.5986449075
544	0.5985799461
545	0.5984622902
546	0.5983978873
547	0.5982934002
548	0.5982115469
549	0.5981542311
550	0.5980606112
551	0.5979809029
552	0.5978828988
553	0.5978392528
554	0.5977939678
555	0.5977138743
556	0.5976581068
557	0.5976006931
558	0.5975056931
559	0.5974373962
560	0.5973641533
561	0.5972554231
562	0.5971820705
563	0.5971061367
564	0.5970418495
565	0.5969328908
566	0.5968696644
567	0.5967884675
568	0.59674268
569	0.5966780639
570	0.596624427
571	0.5965771364
572	0.5964604641
573	0.5963838217
574	0.5963350435
575	0.596249246
576	0.5962086458
577	0.5961499577
578	0.5960807639
579	0.5960254443
580	0.5959645193
581	0.5958998878
582	0.5958523024
583	0.5957913508
584	0.5957457345
585	0.5956872699
586	0.5956064777
587	0.5955374825
588	0.5954729438
589	0.5954263573
590	0.59538728
591	0.5953108375
592	0.5952666395
593	0.5951963352
594	0.5951496345
595	0.5950586792
596	0.5949925927
597	0.5949262023
598	0.5948783834
599	0.5948301836
600	0.5947685107
601	0.5946893834
602	0.5946463845
603	0.5945847027
604	0.5945037137
605	0.5944269621
606	0.5943694363
607	0.5943084013
608	0.5942688132
609	0.5942137337
610	0.5941699457
611	0.5940915043
612	0.59401811
613	0.5939347018
614	0.5938934784
615	0.593812087
616	0.5937450278
617	0.5936889259
618	0.5936135127
619	0.5935484331
620	0.5934592345
621	0.5933985763
622	0.5933269615
623	0.5932593153
624	0.59321039
625	0.593158958
626	0.5931043202
627	0.5930470425
628	0.5930188159
629	0.5929575265
630	0.5928925021
631	0.5928188015
632	0.5927674701
633	0.5927108806
634	0.5926517574
635	0.5925942889
636	0.5925499615
637	0.5924695074
638	0.5924231779
639	0.5923813145
640	0.5923378677
641	0.5922576392
642	0.5922115056
643	0.5921526594
644	0.5920890229
645	0.5920347718
646	0.5919778845
647	0.5918994353
648	0.5918677369
649	0.5918160048
650	0.5917940774
651	0.5917473839
652	0.5916927262
653	0.5916415973
654	0.5916023608
655	0.5915250285
656	0.5914618123
657	0.591402876
658	0.5913194365
659	0.5912747006
660	0.5912191692
661	0.5911271273
662	0.5910586043
663	0.5910037375
664	0.5909371894
665	0.5908674761
666	0.5908021387
667	0.5907644593
668	0.5906669772
669	0.590617737
670	0.5905944822
671	0.5905221578
672	0.5904936845
673	0.5904271902
674	0.590334861
675	0.5902638393
676	0.5901874432
677	0.59013562
678	0.5900687185
679	0.5900378076
680	0.5899907953
681	0.5899192961
682	0.5898497545
683	0.5898085624
684	0.5897419446
685	0.5896709337
686	0.5896330764
687	0.5895841782
688	0.5895287038
689	0.5894880238
690	0.58942977
691	0.5893640453
692	0.5893247392
693	0.589288284
694	0.5892184325
695	0.5891578144
696	0.5890671097
697	0.5889911708
698	0.5889296946
699	0.5888401834
700	0.5887398226
701	0.5886787272
702	0.588611903
703	0.588538473
704	0.5884900188
705	0.5884425152
706	0.5883438014
707	0.5882764195
708	0.5882375136
709	0.5881664789
710	0.5880785963
711	0.5879926811
712	0.5879338974
713	0.5878919096
714	0.5878465137
715	0.5877925812
716	0.5877431768
717	0.5876699769
718	0.5876080883
719	0.5875433101
720	0.5874700223
721	0.5873959485
722	0.587330958
723	0.5872740507
724	0.5871917082
725	0.5871512693
726	0.5871218493
727	0.5870541213
728	0.5870080015
729	0.5869421801
730	0.586902825
731	0.5868351172
732	0.5867456358
733	0.5867065037
734	0.5866761743
735	0.5866487914
736	0.5865964076
737	0.5865041475
738	0.5864424533
739	0.5863715828
740	0.5863180181
741	0.5862515425
742	0.5861992113
743	0.5861005688
744	0.5860033618
745	0.585936948
746	0.5858955173
747	0.5858503744
748	0.5857865267
749	0.5857200474
750	0.5856849055
751	0.5856442937
752	0.5855940898
753	0.5855510873
754	0.5854909178
755	0.5854502763
756	0.585397057
757	0.5853279807
758	0.5852862844
759	0.5851913415
760	0.5851295875
761	0.5850843985
762	0.585022907
763	0.5849836157
764	0.5849128886
765	0.5848505935
766	0.5847796429
767	0.5847293738
768	0.5846787574
769	0.5846268646
770	0.5845668882
771	0.5845034716
772	0.5844292306
773	0.584368109
774	0.5843284297
775	0.5842869832
776	0.5842517147
777	0.5842156835
778	0.5841571449
779	0.5841102223
780	0.5840754716
781	0.5839992748
782	0.5839524787
783	0.5839028501
784	0.5838434067
785	0.5838036055
786	0.5837443305
787	0.5837209047
788	0.5836494714
789	0.5836080205
790	0.5834993776
791	0.5834789623
792	0.5834445843
793	0.583401338
794	0.5833672897
795	0.5832835698
796	0.5832335841
797	0.5832004518
798	0.5831446236
799	0.583069303
800	0.5829855881
801	0.5829507261
802	0.5828840588
803	0.5828503556
804	0.5827959333
805	0.582744015
806	0.5826982619
807	0.5826520701
808	0.5826170489
809	0.5825538639
810	0.5825061107
811	0.5824663981
812	0.5823836941
813	0.582326154
814	0.5822675827
815	0.5822071244
816	0.5821377245
817	0.5821040074
818	0.5820438446
819	0.5819634394
820	0.5819045754
821	0.5818383726
822	0.5817958463
823	0.581752049
824	0.5816978731
825	0.5816570171
826	0.5816134399
827	0.5815241318
828	0.5814731075
829	0.5814168357
830	0.5813392793
831	0.5813002296
832	0.5812318568
833	0.5811727247
834	0.5811337894
835	0.5810864562
836	0.5810148459
837	0.5809720991
838	0.580942284
839	0.5808979816
840	0.5808477446
841	0.5807869574
842	0.5807530598
843	0.5807090043
844	0.5806830167
845	0.5806403789
846	0.5806108131
847	0.5805625897
848	0.5805057974
849	0.5804315961
850	0.5803986764
851	0.5803563173
852	0.5803037707
853	0.5802469403
854	0.5802049898
855	0.580146119
856	0.5800861544
857	0.579994324
858	0.5799562959
859	0.5798899313
860	0.579834329
861	0.5797865028
862	0.579746596
863	0.579694641
864	0.579650953
865	0.5795947468
866	0.5795312635
867	0.5794882355
868	0.579436598
869	0.5793885372
870	0.5793211137
871	0.579263009
872	0.5792104895
873	0.5791560568
874	0.5791188552
875	0.5790613983
876	0.5790205523
877	0.5790016596
878	0.5789626992
879	0.578908298
880	0.5788589719
881	0.5788187631
882	0.5787490881
883	0.5787140347
884	0.5786648457
885	0.5786068308
886	0.5785632123
887	0.5785291215
888	0.5784749526
889	0.5784281201
890	0.5783775944
891	0.5783108846
892	0.5782671681
893	0.5782318255
894	0.5782035856
895	0.5781175535
896	0.5780574037
897	0.5779801667
898	0.5779055591
899	0.5778708336
900	0.577817141
901	0.5777619404
902	0.5777228524
903	0.5776719395
904	0.5775806326
905	0.5775516855
906	0.5775046927
907	0.5774685341
908	0.5773785793
909	0.5773218962
910	0.5772615499
911	0.5771910373
912	0.5771204255
913	0.5770734311
914	0.5770274731
915	0.5770020644
916	0.576936353
917	0.5768818236
918	0.5767635719
919	0.5766617695
920	0.5765916377
921	0.576509809
922	0.5764858877
923	0.5764577044
924	0.5764264538
925	0.5763934334
926	0.5763296381
927	0.5762843609
928	0.5762145717
929	0.5761404639
930	0.5760609941
931	0.5760422132
932	0.5760001217
933	0.5759227378
934	0.5758476384
935	0.5758040368
936	0.5757631282
937	0.5757164443
938	0.575657663
939	0.5756095584
940	0.5755663998
941	0.575516275
942	0.5754663556
943	0.5754041147
944	0.5753439721
945	0.5753045037
946	0.5752501717
947	0.5751733842
948	0.5751140049
949	0.5750805157
950	0.5750331087
951	0.5749951689
952	0.5749208177
953	0.5748767163
954	0.5748430326
955	0.5748201825
956	0.5747532716
957	0.5747141156
958	0.5746499808
959	0.5746084915
960	0.574583173
961	0.5745130012
962	0.5744584586
963	0.574401763
964	0.5743499091
965	0.5742912434
966	0.5742325108
967	0.5741810776
968	0.5741390923
969	0.5740963949
970	0.574037358
971	0.5739758847
972	0.5739221524
973	0.5738824289
974	0.5738247223
975	0.5737777631
976	0.573751764
977	0.5736755869
978	0.5736059159
979	0.573551782
980	0.5735120892
981	0.5734747264
982	0.5734048047
983	0.5733111663
984	0.5732580349
985	0.5732246688
986	0.573175365
987	0.5731294388
988	0.5730850785
989	0.573058662
990	0.5730231054
991	0.5729733912
992	0.5729474337
993	0.5729150778
994	0.5728667934
995	0.5728367863
996	0.5727948727
997	0.5727547119
998	0.5727134812
999	0.5726587587
